name,pop,location
Dipalpur,74640,"https://www.google.com/maps/?q=30.6698,73.6531"
Badin,73569,"https://www.google.com/maps/?q=24.656,68.837"
Pano Aqil,72881,"https://www.google.com/maps/?q=27.8562,69.1111"
Kotri,72672,"https://www.google.com/maps/?q=25.3657,68.3083"
Tando Muhammad Khan,72659,"https://www.google.com/maps/?q=25.1238,68.5368"
Harunabad,72432,"https://www.google.com/maps/?q=29.6121,73.138"
Pattoki,70436,"https://www.google.com/maps/?q=31.0202,73.8533"
Chenab Nagar,70000,"https://www.google.com/maps/?q=31.7551,72.914"
Kahror Pakka,69743,"https://www.google.com/maps/?q=29.6243,71.9144"
Gujar Khan,69374,"https://www.google.com/maps/?q=33.2541,73.3043"
Kot Malik Barkhurdar,69359,"https://www.google.com/maps/?q=30.2038,66.9872"
Chuchar-kana Mandi,69321,"https://www.google.com/maps/?q=31.75,73.8"
Toba Tek Singh,69064,"https://www.google.com/maps/?q=30.9713,72.4827"
Narowal,68291,"https://www.google.com/maps/?q=32.102,74.873"
Shorkot,67439,"https://www.google.com/maps/?q=31.9102,70.8776"
Shahdadpur,67249,"https://www.google.com/maps/?q=25.9254,68.6228"
Shabqadar,66541,"https://www.google.com/maps/?q=34.216,71.5548"
Mansehra,66486,"https://www.google.com/maps/?q=34.3302,73.1968"
Shujaabad,65952,"https://www.google.com/maps/?q=29.8809,71.2934"
Haveli Lakha,65289,"https://www.google.com/maps/?q=30.451,73.6937"
Lala Musa,65197,"https://www.google.com/maps/?q=32.7014,73.9575"
Mailsi,64545,"https://www.google.com/maps/?q=29.8012,72.174"
Shakargarh,64304,"https://www.google.com/maps/?q=32.2636,75.1601"
Ghotki,64295,"https://www.google.com/maps/?q=28.0044,69.3157"
Sibi,64069,"https://www.google.com/maps/?q=29.543,67.8773"
Jampur,63791,"https://www.google.com/maps/?q=29.6423,70.5952"
Sambrial,62874,"https://www.google.com/maps/?q=32.4784,74.3534"
Sanghar,62033,"https://www.google.com/maps/?q=26.0469,68.9492"
Hujra Shah Muqim,61546,"https://www.google.com/maps/?q=30.7417,73.8233"
Kabirwala,60782,"https://www.google.com/maps/?q=30.4047,71.8627"
Chunian,57312,"https://www.google.com/maps/?q=30.9662,73.9791"
Sangla Hill,57002,"https://www.google.com/maps/?q=31.7167,73.3833"
Haripur,56977,"https://www.google.com/maps/?q=33.9978,72.9349"
Nankana Sahib,56366,"https://www.google.com/maps/?q=31.4501,73.7065"
Pasrur,53364,"https://www.google.com/maps/?q=32.2629,74.6633"
Gwadar,51901,"https://www.google.com/maps/?q=25.1216,62.3254"
Rajanpur,50682,"https://www.google.com/maps/?q=29.1041,70.3297"
Rohri,50649,"https://www.google.com/maps/?q=27.692,68.895"
Zhob,50537,"https://www.google.com/maps/?q=31.3408,69.4493"
Matli,50398,"https://www.google.com/maps/?q=25.0429,68.6559"
Rawala Kot,50000,"https://www.google.com/maps/?q=33.8578,73.7604"
